,Predict,answer,factual,Domain
0,"HIV-1 is the most common HIV-1 infection in children worldwide, with over 400,000 cases being infected worldwide, mostly through MTCT. 90% of these cases are in sub-Saharan Africa, where the majority of cases are caused by MTCT. HIV-1 is a virus that causes a high risk of infection in children. It is caused by a","Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. more than 400,000 children were infected worldwide, mostly through MTCT and 90% of them lived in sub-Saharan Africa.",False,Covid
1,I have a URT sample of nasopharyngeal aspirates. I have a URT sample of nasopharyngeal aspirates. I have a URT sample of nasopharyngeal aspirates. I have a URT sample of nasopharynge,URT sample nasopharyngeal aspirates,False,Covid
2,"The PIV, IFV, and ADV are all viruses that are considered to be a major cause of exacerbation. However, it is important to note that the PIV is a major cause of exacerbation, and it is important to note that the IFV is a major cause of exacerbation. The","parainfluenza virus (PIV), influenza virus (IFV) and adenovirus (AdV) Despite being a major cause of exacerbation, reports linking respiratory viruses to acute exacerbations only start to emerge in the late 1950s (Pattemore et al., 1992) ; with bacterial infections previously considered as the likely culprit for acute exacerbation",False,Covid
3,The USA and China had good performance in the past few years. The USA and China had good performance in the past few years. The USA and China had good performance in the past few years. The USA and China had good performance in the past few years. The USA and China had good performance in the past few years. The USA and China had good performance in the past few years. The,"using two different datasets of weekly influenza confirmed cases in two countries, namely the USA and China showed good performances",False,Covid
4,"It will be used worldwide to identify evidence of widespread community transmission and, should the virus spread and containment no longer be deemed feasible, to monitor intensity of disease transmission, trends and its geographical spread. The data will be used to identify evidence of widespread community transmission and, if the virus spread and containment no longer is deemed feasible, to monitor intensity of disease transmission. The data","will be used globally to help identify evidence of widespread community transmission and, should the virus spread and containment no longer be deemed feasible, to monitor intensity of disease transmission, trends and its geographical spread. sporadic cases among travellers from China (14 cases) and cases who acquired infection due to subsequent local transmission in Europe (21 cases).",False,Covid
5,"IFN-mediated immune pathways in bat reservoirs may promote elevated within-host virus replication rates before cross-species emergence. Bat cell lines demonstrated a signature of enhanced interferon-mediated immune response, of either constitutive or induced form, which allowed for establishment of rapid within-host, cell-to-cell virus transmission rates. Bat cell lines demonstrated a signature","enhanced IFN-mediated immune pathways in bat reservoirs may promote elevated within-host virus replication rates prior to cross-species emergence. that bat cell lines demonstrated a signature of enhanced interferon-mediated immune response, of either constitutive or induced form, which allowed for establishment of rapid within-host, cell-to-cell virus transmission rates",False,Covid
6,A low-income or middle-income country is open-minded and creative. It is a country that is open-minded and creative. It is a country that is open-minded and creative. It is a country that is open-minded and creative. It is a country that is open-minded and creative. It is a country that is open-minded and,a lowincome or middle-income country open-minded and creative,False,Covid
7,The microbe can induce the disease anew after being fully isolated from the body and repeatedly grown in pure culture. The microbe can cause the disease in every case of the disease in question and under circumstances that can account for the pathological changes and clinical course of the disease. The microbe is a bacterium that can cause the disease in any case. It is a,"after being fully isolated from the body and repeatedly grown in pure culture, the microbe can induce the disease anew The microbe occurs in every case of the disease in question and under circumstances which can account for the pathological changes and clinical course of the disease",False,Covid
8,Parainfluenza virus 4 is a respiratory syncytial virus that is commonly known as a respiratory virus. It is a type of respiratory virus that is commonly known as a respiratory virus. It is also known as a respiratory virus. It is a type of respiratory virus that is commonly known as a respiratory virus. It is also known as ,"Coronavirus OC43 Parainfluenza virus 4, respiratory syncytial virus B and enterovirus",False,Covid
9,Bats-Hosts-Reservoir-People transmission network model is a model that simulates the potential transmission from the infection source (probably be bats) to the human infection. Bats-Hosts-Reservoir-People transmission network model is a model that simulates the potential transmission from the infection source (probably be bats) to the human infection,"Huanan Seafood Wholesale Market (reservoir) to people, a Bats-Hosts-Reservoir-People transmission network model for simulating the potential transmission from the infection source (probably be bats) to the human infection.",False,Covid
10,The onset of pneumonia can impair longterm lung health by decreasing lung function. Severe or recurrent pneumonia can have a worse effect on lung function; increasing evidence suggests that chronic obstructive pulmonary disease might be related to early childhood pneumonia. New conjugate vaccines against Haemophilus influenzae type b and Streptococcus,"Early life pneumonia can impair longterm lung health by decreasing lung function [6] . Severe or recurrent pneumonia can have a worse effect on lung function; increasing evidence suggests that chronic obstructive pulmonary disease might be related to early childhood pneumonia New conjugate vaccines against Haemophilus influenzae type b and Streptococcus pneumoniae have contributed to decreases in radiologic, clinical and complicated pneumonia cases",False,Covid
11,The RNA genome is a RNA molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is a molecule that is,"bisegmented, negative-sense, single stranded RNA genome a glycoprotein, a nucleoprotein (NP), a matrix protein (Z), and a polymerase (L)",False,Covid
12,"Haemagglutinin (HA) and neuraminidase (NA) are two proteins that are highly expressed in the human body. They are both characterized by their high levels of neuraminidase, which is a type of peptide that is highly expressed in the human body. They are both highly expressed in the human body and",haemagglutinin (HA) and the neuraminidase (NA) two,False,Covid
13,The RNA virus is a type of RNA that is a type of RNA that is a type of RNA that is a type of RNA that is a type of RNA that is a type of RNA that is a type of RNA that is a type of RNA that is a type of RNA that is a,"enveloped, positive-stranded RNA virus 170 million people worldwide",False,Covid
14,"Antigen-presenting cells are characterized by a combination of antigen-presenting cells, such as serum IgG and mucosal SIgA. These cells are characterized by their ability to produce antigens, which can lead to the formation of antibodies that can produce specific antigens.",antigen-presenting cells serum IgG and mucosal SIgA,False,Covid
15,"The genetic triplet code is a complex complex of RNAs that are a combination of RNAs and RNAs. The circular single-stranded RNAs encode a variety of proteins, including proteins, proteins, and RNAs. The circular single-stranded RNAs encode a variety of RNAs, including RNAs,",circular single-stranded RNAs the genetic triplet code and do not encode proteins,False,Covid
16,"Lopinavir/Ritonavir and Interferon Beta 1B are used to treat a variety of diseases, including AIDS, AIDS, and AIDS. The study focuses on the effects of Lopinavir and Interferon Beta 1B on the immune system. The study is based on the study of a combination of a combination of",It investigates the usage of Lopinavir/Ritonavir and Interferon Beta 1B. Most studies on SARS and MERS vaccines were excluded as they were performed in cell or animal models,False,Covid
17,"The anal swab cohort was characterized by a high incidence of severe symptoms, with a median of 71.5% of cases being anal swab positive. This was a significant increase from the 4 (23.5%) of the rest 17 cases without detectable virus in anal. The anal swab cohort was characterized","In the anal swab cohort (Figure 1 (B)), 11 of 28 cases were detected to be anal swab positive, 8 of them (72.7%) were with severe symptoms, which was significantly higher than that 4 (23.5%) of the rest 17 cases without detectable virus in anal were severe cases In the 57, 6 cases were detected to be blood positive, all of them (100%) were severe in symptom requiring special care attention, and the blood of the rest 51 cases was without detectable virus in the blood, only 12 of them (23.5%) were severe cases.",False,Covid
18,IRE1 is a well characterized effector of the cellular homeostatic response to an overloading of the endoplasmic reticulum. It is a cytolytic enzyme that acts as a catalyst for the cellular homeostatic response. It is a cytolytic enzyme that acts as a catalyst for the cellular homeostatic response,"comparison of the enzymatic activity of the two RNases followed by deliberations on the physiological consequences of their activation. the potential anti-virus activity of inositol-requiring enzyme 1 (IRE1), a well characterized effector of the cellular homeostatic response to an overloading of the endoplasmic reticulum (ER) protein-folding capacity. IRE1, an ER-membrane-resident ribonuclease (RNase), upon activation catalyses regulated cleavage of select protein-coding and non-coding host RNAs, using an RNase domain which is homologous to that of the known anti-viral effector RNaseL.",False,Covid
19,The severe acute respiratory syndrome coronavirus is a rare and endemic respiratory syndrome that affects the respiratory system in Hubei province. It is a chronic respiratory syndrome that affects the respiratory system in Hubei province. It is a chronic respiratory syndrome that affects the respiratory system in Hubei province. It is a chronic respiratory syndrome that affects the respiratory system,"severe acute respiratory syndrome coronavirus 2 Wuhan, capital of Hubei Province, China",False,Covid
20,The HepaRG cells were found to express NPCT but not to be infected. The majority of HepaRG cells were found to express NPCT but not to be infected. The majority of HepaRG cells were found to express NPCT but not to be infected. The majority of HepaRG cells were found to express,not sufficient the majority of HepaRG cells were found to express NPCT but not to be infected,False,Covid
21,"You can view different branches of an advancement tree by clicking and dragging the tree. This allows you to explore the various advancements and their relationships within each tree. The tabs in the Minecraft advancement system are ordered from left to right based on when the first advancement in each tab was made. In Minecraft, you can view different branches of an advancement tree by clicking and dragging the tree","In Minecraft, you can view different branches of an advancement tree by clicking and dragging the tree. This allows you to explore the various advancements and their relationships within each tree. The tabs in the advancement system in Minecraft are ordered from left to right based on when the first advancement in each tab was made.",False,Minecraft
22,"You can create a cauldron filled with potions by brewing potions in the cauldron. To change the color of the water, you can use a paintbrush to change the color of the water. You can also use a paintbrush to change the color of the water, which is a common practice in Minecraft. However, it is important to note that","In Minecraft, cauldrons cannot hold milk, honey, or any food items that exist in bowls, including mushroom stew, beetroot soup, rabbit stew, and suspicious stew. In Minecraft, you can create a cauldron filled with potions by brewing potions in the cauldron. To change the color of the water, you can add different dyes to the cauldron water. For example, you can add a blue dye to create blue water, or a red dye to create red water. You can also experiment with different combinations of dyes to create unique colors. Additionally, you can use a mod to enable the ability to brew potions in the cauldron in earlier versions of the game, such as Beta 1.9 Pre-Release 2.",False,Minecraft
23,NOT DOMAIN,"In Survival mode, tutorial hints are a series of tabs that appear in the right-hand corner of the player's screen to guide new players who may not know the controls, with each hint providing a description of how to complete a specific task and an image to describe it. The tutorial hints in Minecraft are stored in the options.txt file.",False,Minecraft
24,"The badlands biome variants (badlands, wooded badlands, and eroded badlands) all have unique characteristics that affect the generation of terracotta bands. For example, the badlands biome tends to have more frequent and longer terracotta bands, while the wooded badlands biome has shorter terracotta bands. The","In Minecraft, the different badlands biome variants (badlands, wooded badlands, and eroded badlands) all have unique characteristics that affect the generation of terracotta bands. For example, the badlands biome tends to have more frequent and longer terracotta bands, while the wooded badlands biome has shorter and less frequent terracotta bands. The eroded badlands biome, on the other hand, has a mix of both. Additionally, the removed variants (badlands plateau, modified badlands plateau, and modified wooded badlands plateau) also had unique terracotta band generation patterns that are no longer present in the current game version. In the eroded badlands biome, unique formations of terracotta hoodoos, narrow spires that rise up from the red sand floor of the biome's drainage basins, can be found.",False,Minecraft
25,The FOV value in Minecraft is a measure of the depth of vision that the player gets. The FOV value is a measure of the depth of vision that the player gets. The FOV value is a measure of the depth of vision that the player gets. The FOV value is a measure of the depth of vision that the player gets. The FOV value is,"Fancy graphics in Minecraft aims to strike a balance between performance and quality, taking into account the capabilities of most machines to ensure a smooth gaming experience. In Minecraft, the FOV value represents how many degrees of vertical vision the player gets without modifying effects such as sprinting, flying or status effects. The table below shows how Minecraft's FOV setting affects horizontal field of view in different display aspect ratios.",False,Minecraft
26,The difference in sound effects is due to the different audio assets used in each edition. A cake is broken when pushed by a sonic player. A cake is broken when pushed by a sonic player. A cake is broken when pushed by a sonic player. A cake is broken when pushed by a sonic player. A cake,"In the Bedrock Edition of Minecraft, a unique sound effect plays when a player places a bed, whereas in the Java Edition, a different sound effect is used. This difference in sound effects is due to the distinct audio assets used in each edition, resulting in a distinct auditory experience for players. A cake is broken when pushed by a piston, and it drops nothing.",False,Minecraft
27,answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer answer,{answer} {answer},False,Minecraft
28,The Stone texture was added in version rd-131655. The Stone texture was added in version rd-131655. The Stone texture was added in version rd-131655. The Stone texture was added in version rd-131655. The Stone texture was added in version rd-131655. The Stone texture was added in version rd-131655. The,"The Calibrated Sculk Sensor top uses the ""Root Vines"" texture in Minecraft. The first texture to be added to Minecraft in the pre-classic era was the Stone texture, which was added in version rd-131655.",False,Minecraft
29,"The durability of a wooden sword is a matter of preference for the player, and the player can use an attack action while holding it. The player can use wood planks of any kind to repair it in an anvil, with each repair material restoring 25% the sword's maximum durability, rounded down. The player can also use wood planks of any kind to","In Minecraft, the durability of a wooden sword decreases by 1 when the player uses an attack action while holding it. A wooden sword can be repaired in an anvil by adding wood planks of any kind, with each repair material restoring 25% the sword's maximum durability, rounded down.",False,Minecraft
30,"Notch introduced the feature to display the game's version number in the top left corner of the screen. In Minecraft, entity.hanging.place is used to set the initial position of a hanging entity, such as a painting or a lantern, while entity.hanging.pop is used to remove a hanging entity. Notch introduced the feature to show the game","In Classic 0.0.2a, Notch first introduced the feature to display the game's version number in the top left corner of the screen. In Minecraft, entity.hanging.place is used to set the initial position of a hanging entity, such as a painting or a lantern, while entity.hanging.pop is used to remove a hanging entity from the game world.",False,Minecraft
31,"You can use the '/screenshots' command to create a unique screenshot in the gallery by using the '/screenshots' command. You can also use the '/screenshots' command to display your inventory in a visually appealing way. You can also use a collage to create a collage, or even create a miniature scene within your","In Minecraft, you can create a unique screenshot in the gallery by using the '/screenshots' command and specifying a custom title, description, and tags. To showcase your creative inventory management skills, you can arrange your items in a visually appealing way, use item frames to create a collage, or even build a miniature scene within your inventory. For example, you can create a ""Stomach Inventory"" scene by arranging food items in a stomach-shaped pattern, as seen in the screenshot taken during the Java Edition Indev 0.31 development phase. In Minecraft's creative mode, non-player entities such as Minecarts, Boats, and Blazes have their own inventory-like windows that pop up to allow manipulation of items.",False,Minecraft
32,                                       ,{answer} {},False,Minecraft
33,"The amethyst block is a crucial component of wireless signal transmission in Minecraft. It is a sculk sensor that receives a vibration, which is then re-emitted as a separate vibration by the amethyst. The amethyst block is a component of the sculk sensor, which","In Minecraft, when an amethyst block is placed adjacent to a sculk sensor or a calibrated sculk sensor, it plays a crucial role in wireless signal transmission. The sculk sensor receives a vibration, which is then re-emitted as a separate vibration by the amethyst block at its location. This vibration can be detected by another sculk sensor, allowing the creation of a chain of sculk sensors and amethyst blocks to transmit a signal wirelessly. This feature enables the transmission of information over long distances without the need for physical connections, making it an essential component in various Minecraft builds and contraptions. According to the Bedrock Edition documentation, it is recommended to report issues related to the ""Block of Amethyst"" on the bug tracker, specifically on the page dedicated to issues relating to this topic.",False,Minecraft
34,The mob will have the same characteristics as the adult mob.,"{answer} If the mob has a baby form, the egg will spawn a baby version of the mob, with the same characteristics as the adult mob.",False,Minecraft
35,"The command syntax in Minecraft is based on a resource location or a tag, which is resolved during command execution into an entry or tag in the correct registry. In the Bedrock Edition of Minecraft, the valid set of CommandCompareOperator values is one of &lt;, &lt;=, =, &lt;=,","A valid type of output in the Minecraft command syntax is a resource location or a tag, which is resolved during command execution into an entry or tag in the correct registry. In the Bedrock Edition of Minecraft, the valid set of CommandCompareOperator values is one of &lt;, &lt;=, =, &gt;=, and &gt;.",False,Minecraft
36,"The title suggests a reversal of the traditional narrative, highlighting Africa's role in European history. The article challenges the traditional narrative by highlighting instances where Africans discovered and interacted with Europe, rather than the opposite. The article challenges the traditional narrative by highlighting Africans discovering and interacting with Europe. The article challenges the traditional narrative by highlighting instances where","The significance of the title suggests a reversal of the traditional narrative, highlighting Africa's role in European history. The article challenges the traditional narrative by highlighting instances where Africans discovered and interacted with Europe, rather than the other way around.",False,AfricaHistory
37,"The article addresses misconceptions such as the idea of African military inferiority, the notion of 'Merrie Africa' being peaceful, and the oversimplification of internal conflicts as mere 'tribal clashes'. The article addresses misconceptions such as the idea of African military inferiority, the notion of 'Merrie Africa' being peaceful, and the over","The article addresses misconceptions such as the idea of African military inferiority, the notion of 'Merrie Africa' being peaceful, and the oversimplification of internal conflicts as mere 'tribal clashes'. Common weaponry included bows, lances, swords, and later muskets. Military divisions typically consisted of cavalry, infantry, and naval forces, with cavalry often being the most prestigious.",False,AfricaHistory
38,"The origin of trans-Saharan travel and exchanges is a matter of debate among scholars, with most scholars asserting that it began with the introduction of the camel at the start of the middle ages, while others claim that wheeled chariots were crossing the Sahara during the age of the Romans and the Carthaginians. The origin","The debate among scholars is about when Trans-Saharan travel and exchanges began, with most scholars asserting that it started with the introduction of the camel at the start of the middle ages, while others claim that wheeled chariots were crossing the Sahara during the age of the Romans and the Carthaginians. Trans-Saharan travel and exchanges proceeded by regional stages, with the eventual long-distance transport being accomplished by numerous local exchanges. The societies and economies of Saharan communities were largely sustained by local resources and regional trade, rather than depending on tolls from long-distance trade.",False,AfricaHistory
39,"Hegel's philosophical ideas suggested that Africa was a stagnant continent, which provided a rationale for European powers to colonize and exploit it. Hegel's deliberate ignorance of African history legitimized the colonization of Africa. Hegel's deliberate ignorance of African history legitimized the colonization of Africa. Hegel's philosophical ideas suggested that Africa was ","Hegel's philosophical ideas suggested that Africa was a stagnant continent, which provided a rationale for European powers to colonize and exploit it. Hegel's deliberate ignorance of African history legitimized the colonization of Africa.",False,AfricaHistory
40,"Igbo Ukwu art is a representation of the Eze Nri office and the Nri kingdom. The skeuomorphic features in Igbo Ukwu art are a combination of skeuomorphic features, such as snakes, leopards, and elephants, which were likely used to symbolize power, strength,","The animals depicted in Igbo Ukwu art, such as snakes, leopards, and elephants, were likely used to symbolize power, strength, and fertility, and were often associated with the Eze Nri office and the Nri kingdom. The skeuomorphic features in Igbo Ukwu art, such as the rendering of innate features of one material form in another, likely served a twofold purpose: to indicate the power of the object's owners to transform the meaning and appearance of everyday and prestige items, and to produce symbols of power and authority in more durable forms.",False,AfricaHistory
41,"Darfur was a kingdom of a small and largely independent nation, with a total population of 60,000. It was a province of the French Empire, which was a part of the French Empire. The provinces were divided into provinces, each with a provincial governor. The provinces were divided into provinces, each with a provincial governor. The province","The basis of the administrative structure of the kingdom of Darfur was the quadrant division into provinces, each under a provincial governor. The kingdom of Darfur was nearly twice the size of France.",False,AfricaHistory
42,"Gao was the capital of the medieval kingdom of Gao from the 9th to the 13th century and later became the imperial capital of Songhay during the 16th century. The French occupied Gao in 1898, marking the start of its modern history. Gao was the capital of the medieval kingdom of Gao from the 9th to the 13th century. Gao","Gao was the capital of the medieval kingdom of Gao from the 9th to the 13th century and later became the imperial capital of Songhay during the 16th century. The French occupied Gao in 1898, marking the start of its modern history.",False,AfricaHistory
43,"Musa was accompanied by thousands of enslaved people, with some estimates reaching as high as 60,000. Musa was accompanied by a group of 60,000 people, and stories of him building mosques in every town he visited are considered fabrications. Musa was accompanied by thousands of enslaved people, with some estimates reaching as high as","Exaggerated claims include Musa traveling with an entourage of 60,000, and stories of him building mosques in every town he visited, which are considered fabrications. Claims suggest that Mansa Musa was accompanied by thousands of enslaved people, with some estimates reaching as high as 60,000.",False,AfricaHistory
44,"Kano was a free country, and it was a free country. It was a free country, and it was a free country. It was a free country, and it was free from the oppressive power of the Songhai and Kanem-Bornu. It was a free country, and it was free from the oppressive power of the","Rumfa's reforms allowed Kano to maintain a degree of autonomy despite the pressures from Songhai and Kanem-Bornu, ultimately leading to Kano's independence from these empires. Trade was crucial as it attracted merchants and scholars to Kano, enhancing its economic status and allowing it to thrive despite external pressures.",False,AfricaHistory
45,The institutions were established by Kintu and his descendant Kimera. The Buganda kingdom was located along the northern shores of Lake Victoria in East Africa. Kintu and his descendant Kimera are credited with introducing these institutions. The Buganda kingdom was located along the northern shores of Lake Victoria in East Africa. Kintu and his descendant Kim,Kintu and his descendant Kimera are credited with introducing these institutions. The Buganda kingdom was located along the northern shores of Lake Victoria in East Africa.,False,AfricaHistory
46,"The history of medicine in Africa includes classical medicine based on humoral theory, theological medicine based on religious precedent, and pre-existing medical traditions of various African societies. The development of medical science in Africa involved the interaction of multiple streams of therapeutic tradition, including classical, theological, and pre-existing African medical traditions. The development of medical science in Africa involved the interaction","The history encompasses classical medicine based on humoral theory, theological medicine based on religious precedent, and pre-existing medical traditions of various African societies. The development of medical science in Africa involved the interaction of multiple streams of therapeutic tradition, including classical, theological, and pre-existing African medical traditions.",False,AfricaHistory
47,"Women scholars were a diverse group of writers who wrote a variety of works, including poetry, historical texts, religious writings, and works on statecraft and cultural norms. The perception of women scholars has evolved, with recent efforts to digitize manuscripts and highlight their contributions, countering their historical invisibility. Women scholars were also a significant contributor to the literary world,","Women scholars produced a variety of literature, including poetry, historical texts, religious writings, and works on statecraft and cultural norms. The perception of women scholars has evolved, with recent efforts to digitize manuscripts and highlight their contributions, countering their historical invisibility.",False,AfricaHistory
48,"The Wadai kingdom was largely a result of the French colonial forces and internal strife within the kingdom. The Maba ethnic group was the dominant group in the kingdom, but also included various other ethnicities, including former prisoners of war and migrants. The Wadai kingdom was largely dominated by the Maba ethnic group, but also included other","The fall of the Wadai kingdom was primarily due to the advancing French colonial forces and internal strife within the kingdom. The Wadai administration was dominated by the Maba ethnic group but included various other ethnicities, including former prisoners of war and migrants.",False,AfricaHistory
49,"The emergence of new expansionist states, such as the Wadai kingdom and the warlord Rabeh, reduced the number of city-states. The emergence of new expansionist states, such as the Wadai kingdom and the warlord Rabeh, reduced the number of city-states. The emergence of new expansionist states,","In the 16th century, the expansion of the Bornu empire and the arrival of nomadic Shuwa-Arab pastoralists altered the political landscape, leading to the formation of confederations among the city-states. The emergence of new expansionist states, such as the Wadai kingdom and the warlord Rabeh, reduced the autonomy of the Kotoko city-states, leading to occupation and conquest.",False,AfricaHistory
50,"Sapi ivory carvings are often characterized by its sculptural and decorative features, such as crocodiles, crocodiles, and scenes depicting local culture and rituals. The primary materials used in Sapi ivory carvings include soapstone, ivory, and wood. The motifs used in Sapi ivory carvings include crocodile","Common motifs in Sapi ivory artworks include anthropomorphic and zoomorphic figures, crocodiles, and scenes depicting local culture and rituals. The primary materials used by Sapi artists in their ivory carvings included ivory, soapstone, and wood.",False,AfricaHistory
51,The jungle biomes are a natural habitat where trees are deposited and regenerated. The trees are a type of sandstone that can be found in the sandstone groves of the forest. The trees are a type of sandstone that can be found in the sandstone groves of the forest. The trees are ,Fallen jungle trees can be found in jungle biomes.,True,Minecraft
